PASSPORT_NO,FULL_NAME,ROLE,EMBASSY,EMERGENCY_FREQ_MHZ,CLEARANCE
US-951899X,John Chen,Counselor,United Kingdom,173.2,Level 1
JP-745008C,Pierre Novak,Ambassador,Ostania,106.0,Level 4
RU-632621X,Nikolai Garcia,Attaché,United Kingdom,113.8,Level 2
CN-638083B,Sophia Smith,Liaison Officer,Westalis,184.1,Level 5
FR-194633B,Michael Garcia,Military Attaché,Republic of France,194.0,Level 4
CN-453978X,Carlos Zheng,Ambassador,Westalis,125.5,Level 5
JP-826354C,Michael Koval,Liaison Officer,Westalis,115.8,Level 4
FR-708305X,Sophia Haddad,Ambassador,Republic of France,105.4,Level 2
RU-394429C,Wei Novak,Liaison Officer,Republic of France,192.3,Level 2
DE-582442X,Fatima Novak,First Secretary,Empire of Japan,120.7,Level 1
RU-977485B,Pierre Zheng,Counselor,Westalis,141.6,Level 1
CN-217747B,Sophia Garcia,Military Attaché,Westalis,106.2,Level 2
UK-442566C,Sarah Novak,Military Attaché,Federal Republic of Germany,131.2,Level 3
DE-680156C,Hans Chen,Ambassador,United States,182.4,Level 4
CN-107308C,Pierre Patel,Ambassador,Empire of Japan,168.0,Level 5
JP-887001X,Arjun Dubois,Attaché,United Kingdom,160.2,Level 3
CN-131099C,Nikolai Chen,Counselor,United States,111.9,Level 2
UK-832429C,Sophia Haddad,Counselor,Federal Republic of Germany,180.6,Level 4
US-921443X,John Vance,Ambassador,United Kingdom,124.1,Level 4
CN-421085B,Hans Müller,Liaison Officer,Ostania,104.0,Level 5
US-475144C,Pierre Volkov,Liaison Officer,Empire of Japan,198.4,Level 1
US-835595A,Hans Patel,Military Attaché,United States,121.3,Level 5
DE-487390A,Elena Müller,First Secretary,United Kingdom,194.4,Level 5
JP-963213X,Nikolai Volkov,Attaché,Ostania,172.4,Level 1
JP-368413X,Sarah Chen,First Secretary,United Kingdom,187.3,Level 2
UK-953163B,Sarah Chen,Liaison Officer,Empire of Japan,193.3,Level 4
CN-955177X,John Vance,Attaché,Republic of France,118.6,Level 4
JP-629810X,John Garcia,Counselor,Federal Republic of Germany,180.7,Level 1
US-452248A,Pierre Vance,Liaison Officer,Westalis,145.2,Level 4
UK-511811X,Fatima Volkov,Ambassador,Westalis,162.5,Level 1
FR-341283X,Hans Volkov,Counselor,Empire of Japan,121.0,Level 3
US-387134C,Nikolai Zheng,Ambassador,Westalis,191.9,Level 3
RU-132328B,Elena Vance,Attaché,Westalis,159.2,Level 3
RU-673672X,Carlos Novak,Military Attaché,Westalis,132.6,Level 4
CN-415396C,John Müller,Military Attaché,Ostania,151.2,Level 4
DE-539004X,Gaston Smith,Attaché,Westalis,156.3,Level 5
US-257328B,Gaston Koval,First Secretary,United Kingdom,121.1,Level 5
JP-743138B,Wei Haddad,Counselor,United States,184.4,Level 5
RU-824943X,Gaston Vance,Ambassador,Ostania,103.3,Level 5
DE-208225X,Carlos Dubois,Attaché,Republic of France,196.8,Level 4
RU-763429B,Michael Müller,Liaison Officer,Republic of France,130.4,Level 1
FR-365779X,Michael Patel,Liaison Officer,United Kingdom,173.8,Level 1
FR-888824X,John Haddad,Military Attaché,Federal Republic of Germany,153.8,Level 5
CN-201796B,Sarah Smith,Liaison Officer,Federal Republic of Germany,134.4,Level 3
CN-617577C,Carlos Smith,Ambassador,Federal Republic of Germany,101.8,Level 3
JP-663081C,Gaston Novak,Ambassador,United Kingdom,177.8,Level 1
UK-874307B,John Müller,Military Attaché,Westalis,161.8,Level 5
DE-610594A,Carlos Patel,Attaché,Republic of France,170.8,Level 4
JP-698281X,John Dubois,Attaché,Republic of France,191.0,Level 3
DE-550325B,Michael Volkov,Counselor,Westalis,173.9,Level 2
US-131982B,Sophia Garcia,Attaché,Westalis,107.6,Level 4
RU-336607A,Elena Haddad,Attaché,United States,153.9,Level 5
RU-274887A,Pierre Chen,Ambassador,United States,121.6,Level 2
RU-700845A,Hans Patel,First Secretary,Empire of Japan,104.9,Level 2
JP-391975A,Sarah Patel,Counselor,Empire of Japan,176.5,Level 4
CN-355330B,Carlos Dubois,First Secretary,Republic of France,154.4,Level 2
DE-328065C,Wei Garcia,Counselor,United States,162.6,Level 2
FR-181768C,Sarah Garcia,Military Attaché,United States,134.7,Level 1
CN-264578X,Michael Zheng,Ambassador,Westalis,155.2,Level 2
UK-645033B,Carlos Patel,First Secretary,United Kingdom,189.5,Level 3
JP-562372X,Michael Garcia,First Secretary,Republic of France,165.6,Level 1
CN-871304B,Nikolai Patel,Military Attaché,Ostania,108.8,Level 1
DE-200371A,Pierre Zheng,Ambassador,Federal Republic of Germany,132.2,Level 3
CN-349631A,Gaston Smith,Ambassador,United Kingdom,169.8,Level 5
DE-905121B,Fatima Volkov,Liaison Officer,United Kingdom,109.6,Level 3
UK-702795A,Sophia Volkov,First Secretary,Ostania,187.8,Level 2
DE-476817B,Pierre Garcia,Liaison Officer,United States,197.1,Level 1
DE-513291B,Gaston Müller,Counselor,Republic of France,157.9,Level 4
DE-639608X,Carlos Zheng,First Secretary,Empire of Japan,132.5,Level 4
RU-392695A,Fatima Chen,Counselor,Federal Republic of Germany,172.1,Level 3
FR-847488X,Pierre Haddad,Liaison Officer,Federal Republic of Germany,150.0,Level 2
CN-599400B,Sophia Chen,Counselor,Westalis,171.7,Level 1
UK-144670X,Fatima Patel,Attaché,Republic of France,136.4,Level 5
UK-282610C,John Chen,Liaison Officer,Westalis,103.4,Level 4
JP-942210C,Arjun Koval,Ambassador,Empire of Japan,112.5,Level 4
DE-420553B,Hans Zheng,Liaison Officer,Ostania,174.8,Level 1
RU-774781A,Wei Smith,Attaché,Westalis,139.4,Level 1
US-867301X,Arjun Koval,Ambassador,Ostania,120.1,Level 1
UK-261504B,Carlos Patel,Attaché,Republic of France,160.1,Level 5
FR-724561X,Gaston Zheng,Counselor,Federal Republic of Germany,106.6,Level 4
CN-982669A,John Koval,Military Attaché,Westalis,126.5,Level 1
CN-705263B,Fatima Novak,First Secretary,Republic of France,125.2,Level 5
US-113993A,Nikolai Müller,Liaison Officer,United Kingdom,190.8,Level 3
RU-111905B,Elena Dubois,Liaison Officer,United Kingdom,186.3,Level 3
US-929366X,Fatima Volkov,Military Attaché,United States,134.8,Level 5
DE-318057B,Sarah Zheng,Military Attaché,United States,155.5,Level 4
FR-959738X,Wei Novak,Ambassador,United States,193.8,Level 3
FR-512456B,Gaston Haddad,First Secretary,Empire of Japan,192.4,Level 5
RU-521092A,Elena Volkov,Liaison Officer,Empire of Japan,130.6,Level 1
DE-897330C,Hans Patel,Military Attaché,United Kingdom,172.0,Level 4
DE-491187C,Arjun Haddad,Attaché,Ostania,181.5,Level 3
CN-519979B,Sarah Müller,Liaison Officer,Ostania,138.0,Level 1
FR-923190X,Sophia Vance,Attaché,Ostania,178.6,Level 3
CN-447656B,John Zheng,Ambassador,Republic of France,183.4,Level 5
US-944632C,Michael Novak,Liaison Officer,Republic of France,179.1,Level 3
CN-728986A,Michael Volkov,First Secretary,United States,170.2,Level 2
US-994450X,Arjun Dubois,Attaché,Republic of France,129.3,Level 3
CN-105407B,Carlos Novak,Attaché,United States,118.4,Level 3
FR-978149A,Pierre Dubois,Attaché,Ostania,120.2,Level 3
DE-599875C,Elena Dubois,Military Attaché,United States,192.2,Level 5
RU-892097X,Elena Volkov,First Secretary,Westalis,104.6,Level 3
US-922626X,Pierre Koval,First Secretary,Ostania,125.3,Level 5
JP-610472A,Elena Patel,Military Attaché,United Kingdom,143.9,Level 1
DE-836082A,Michael Zheng,Military Attaché,Federal Republic of Germany,125.0,Level 4
RU-323324X,Sophia Vance,Military Attaché,United States,170.6,Level 4
RU-146734B,Michael Smith,Liaison Officer,Federal Republic of Germany,182.0,Level 2
JP-411346X,Sarah Volkov,Military Attaché,United States,192.5,Level 5
RU-323989X,Elena Garcia,Liaison Officer,Empire of Japan,157.8,Level 1
JP-360186B,Nikolai Koval,Ambassador,United States,152.7,Level 5
US-789081A,Nikolai Volkov,First Secretary,Ostania,108.7,Level 4
JP-624201A,Pierre Novak,Military Attaché,Republic of France,134.5,Level 1
FR-211734A,Pierre Volkov,Military Attaché,Empire of Japan,111.8,Level 5
DE-181954X,Fatima Vance,Counselor,Federal Republic of Germany,114.2,Level 4
JP-239283A,Sarah Novak,First Secretary,Federal Republic of Germany,192.6,Level 5
DE-438351C,Gaston Koval,Ambassador,Empire of Japan,151.5,Level 4
JP-301198B,Arjun Vance,Military Attaché,Westalis,143.1,Level 2
UK-289871X,Sarah Müller,First Secretary,Empire of Japan,138.4,Level 2
US-644252A,Carlos Koval,Attaché,United States,110.9,Level 2
JP-625268X,Sophia Haddad,Military Attaché,Ostania,124.9,Level 1
US-291909A,Elena Koval,First Secretary,Ostania,162.7,Level 4
UK-449814C,John Haddad,Liaison Officer,Federal Republic of Germany,184.3,Level 4
